file,account,line_ref,sha256,gl_ex_gst,invoice_incl_gst
NA73211_INV-5747_ReactiveGenerators.pdf,73211,INV-5747,b65e789f2668d7602d9ee4f6499abbd781c22a421bcfbb37769eeae400600f91,11105.10,12215.61
NA73211_LCC31326_INCON_Edenstone.pdf,73211,LCC31326,f435ea915ca1d8d70857f6f3cda220706930c0683023db3a903bdad5bdd7a880,25848.08,28432.89
NA73211_INV-0352_DestinationTrails.pdf,73211,INV-0352,9af823253b6006da9d605e3bf45226f7314f364958495333d8d6fb5488a9d9a7,23120.00,25432.00
NA73211_INV-0354_DestinationTrails.pdf,73211,INV-0354,0c8a6fd73a23c65c6fbfc6c014acb56b8751c4bcc919fcda26911b0852945fa1,17250.00,18975.00
NA73211_INV-0355_DestinationTrails.pdf,73211,INV-0355,e470b4922d772b3ae9a1a07f7849fc07564ff39e761fd604b6c64f60f2aab9eb,2744.00,3018.40
NA73211_INV-0087_Firesight.pdf,73211,INV-0087,805294afdc819c58af1c05d7e4e91c0da251d21c2798537a38fac5b4b89222bb,12800.00,14080.00
NA73211_INV-5888_PlayForce.pdf,73211,INV-5888,ed4a64422502499114e1157a29943b6b5bad23f7d21e2c1aa75dc52a39ec3aa0,5635.00,6198.50
NA73211_INV-0785_ChronicleRip.pdf,73211,INV-0785,81c7145684415115ad56af0b97e01d5a42fcbbf4cdc35d87759758e9cc80df17,480.00,528.00
NA73211_INV-0856_ChronicleRip.pdf,73211,INV-0856,77c4df3ad685954784f1e9bfa8b6f3ee8217e1b244403b89c26083f0f74288d6,2950.00,3245.00
NA73211_INV-0868_ChronicleRip.pdf,73211,INV-0868,4b74a0644bb2a7771cce0834beb11f4b58c6fe5ca7e04a152c814158544aaa3a,5812.45,6393.70
NA73211_INV-0873_ChronicleRip.pdf,73211,INV-0873,7eef07ed9d811936d7bf07900e4e253f99818ab250d71d1b839a0601c71b672f,19800.00,21780.00
NA73211_14566_EWN.pdf,73211,GJ078960 (EWN 14566),0fd1f2f8423d7bd83d9295d1d9b15f72d5a4405faadfb110194da632fdcb98d8,75.00,82.50
NA73211_27168_TennysonGroup.pdf,73211,27168,079df57115613b975186e89ec256c48221da0d3ff18bdac6218aa02c5271c0d1,1058.00,1163.80
NA73211_INV-1917_CAASie.pdf,73211,INV-1917,c29cda6be0c221f057b466b9f6eddd053b613529797bb09e0f546bca83df675a,3363.00,3699.30
NA73211_18970_RSTSystems.pdf,73211,18970,82a0aa84406f9ce7820c92faebce8b0d8d1d8240a0f42230048bed8523762c1a,3800.00,4180.00
NA73211_IAS21464_IndependentArb.pdf,73211,IAS21464,e04ef14b1e2cb6e8b281eb6f9df866438c99eddf5005d80fe82cad5dd23f5a66,800.00,880.00
NA73211_39657_IPWEA.pdf,73211,39657,09aae213be1340cff3f131f077d35464b626b914748dc622157827d4ea099aaf,2788.00,3066.80
NA73211_00001400_PSIA.pdf,73211,00001400,d9c11aa9c97c6ee6decd16a09bfd1718198a343deb77d2ce5b845dee8c31a6b0,4300.00,4730.00
NA73211_RL195364_EmpireOffice.pdf,73211,RL195364,580abb27bab28dbfc55fe7785bb7ea5035baaa1465f19247d5b3fb09fce54ec0,370.06,407.06
NA73211_DOC0079602_DDLS_Lumify.pdf,73211,DOC0079602,5bd14865fe518935bc2b9151dcdb0089d7324a3da75d0183ce8287b125559740,2440.00,2684.00
NA73211_SC10918_Worssell_ScrapCredit.pdf,73211,SC10918,4b0ed72715e941922eec7b13ced6720a6f6935705608a8bd0b381d396db03be0,-154.00,-169.40
NA73211_TE004838_MessageMedia_INV05480153.pdf,73211,TE004838,0d7b2826cfd9ab5a254446feff212b26bfe978d75cfe0f8ee8f091f5c6b624e0,242.40,266.64
NA73211_TE004838_MessageMedia_CoverSlip.pdf,73211,TE004838,22a244457f4f3a097b28159d55a13bb0e5d2c75e56f690fcdc8b9eb003347c3d,242.40,266.64
NA73211_2907532_Lockwise.pdf,73211,2907532,bcaed0866b779310476deb6685ad74da3759de7cf4bc931f9e2eee47adf77c92,121.30,133.43
NA73211_2907801_Lockwise.pdf,73211,2907801,9f1e7af946607ec528c0fce74b2ee23c36f711c0aba061df423498a78ed29c7c,302.50,332.75
NA73211_2908018_Lockwise.pdf,73211,2908018,28a64de947c2da0112e57b2aec946916e43f479e94a53aea194149c983a499c0,130.50,143.55
NA73211_2908241_Lockwise.pdf,73211,2908241,ab8363d1207b92e34e74283249c035d305cbd7cd0c09cb29b67c074646807373,182.00,200.20
NA73211_2908351_Lockwise.pdf,73211,2908351,a1cae65ffd2d1e752a2216c5cee3aac65137dbc2af34beceb36c544c4599f8f7,206.00,226.60
NA73211_2908470_Lockwise.pdf,73211,2908470,310f87ba5ed35ec6a281a3dd35d2ec0b2fadb9aef8352734c909d787a347f14d,176.50,194.15
NA73211_2908632_Lockwise.pdf,73211,2908632,d265a7ca41adaac52d3cf961f144af4e9486d9931cbfb550bb4929feca7d1ba4,85.00,93.50
NA73211_2908653_Lockwise.pdf,73211,2908653,4fb5b23d49e8f625b153cd62ef87268d64524255295dd4d94404845bad573751,159.00,174.90
NA73211_2908664_Lockwise.pdf,73211,2908664,a1b22e22edc8bc477ecf295541b3a69d06c2cb3e7817b4959289bab38f7b032f,251.00,276.10
NA73211_2908883_Lockwise.pdf,73211,2908883,d8a1377b458090c40a38c48527887b867d0df1a9edc9e216c3a31b315d8ce0af,301.00,331.10
NA73211_49359879350725_Telstra_Jul25.pdf,73211,49359879350725,e560fa78440594e33d91cdb89686fd57977f2464093f6062b27cea38e6703814,968.07,1064.88
NA73211_49359879350825_Telstra_Aug25.pdf,73211,49359879350825,4b336584d21ed7f07ad4998af7c622e91095ae2e45de1093394dc135476d2926,640.73,704.80
NA73211_49359879350925_Telstra_Sep25.pdf,73211,49359879350925,393aa516f1a9f7682c49dda585d6ba6f4dd525dc27a7c01456fd5f85f1d3ef03,1048.22,1153.04
NA73211_49359879351025_Telstra_Oct25.pdf,73211,49359879351025,129823b5f2b575499f2a478e5369cf17bf7f58225073081d02ca16357b49bd55,905.61,996.17
NA73211_49359879351125_Telstra_Nov25.pdf,73211,49359879351125,ce1d66aefbad8159492c6769ef2f96bcd25b22a82b6adab1184dd48a4e047613,910.85,1001.93
NA73211_49359879350126_Telstra_Jan26.pdf,73211,49359879350126,352add7603c7d8fd72eb8e82eb65e2ea8ff3714611238c0b7f854c9cf9075eea,807.21,887.93
NA73211_49359879350226_Telstra_Feb26.pdf,73211,49359879350226,4c31e9804f914bed67d3949784ec1eb53d56b01e0025cbba1c394b752d26aa3e,807.21,887.93
NA73211_49359879350326_Telstra_Mar26.pdf,73211,49359879350326,0fe924b2f2f3c78c7fa40b89b1db4cfaf4ad8b27fb5399c5284c489a628fa172,807.21,887.93
NA73211_49359879350426_Telstra_Apr26.pdf,73211,49359879350426,e5b2706e6418f22b970324920d4d075892ce6a7359030d6b10797aa54fe146c4,807.21,887.93
NA73211_49359879350526_Telstra_May26.pdf,73211,49359879350526,ff92162d8ef9008a4867bb394226b0395069d0c77e0f2706840ac2b951a6be7c,807.21,887.93
GAP,73211,2906937,,10200.00,
GAP,73211,2908705,,17000.00,
GAP,73211,TBM 00097461,,7344.11,
GAP,73211,TBM 00097583,,2180.00,
GAP,73211,TBM 00097626,,4600.00,
GAP,73211,TBM 00097780,,1480.00,
GAP,73211,GJ078960 (Ausecology INV-4029),,8480.00,
GAP,73211,GJ078960 (Ausecology INV-4030),,6360.00,
GAP,73211,GJ078546 (Provac INV-00037183),,2050.00,
GAP,73211,49359879351225 (Telstra Dec-25),,727.95,800.75
GAP,73211,3222869,,480.00,
GAP,73211,3223786,,1340.00,
GAP,73211,698933AU,,2093.47,
GAP,73211,713170AU,,339.97,
GAP,73211,EWN INV-14768,,,
GAP,73211,9016,,1710.00,
GAP,73211,00735,,200.00,
GAP,73211,34828,,546.68,
GAP,73211,INV-38877,,2250.00,
GAP,73211,00059013,,276.80,
GAP,73211,00031055/00031079/00031085/00031086,,1668.00,
GAP,73211,00060617/00060647,,493.40,
