pk,gl_account,suggested_acct,dest_account,suggested_category,lines,recode_amount
PK000001,1-20151-73563,73564,1-20151-73564,IT equipment / accessories,25,1375.15
PK000001,1-20151-73563,73512,1-20151-73512,Hospitality refreshments (Reason B),40,1305.86
PK000001,1-20151-73563,72111,1-20151-72111,Cleaning / minor kitchen supplies,19,498.61
PK000001,1-20151-73563,72111,1-20151-72111,Minor equipment / tools,1,58.58
PK000001,1-20151-73563,72111,1-20151-72111,Minor equipment / batteries,4,36.62
PK000001,1-20151-73563,72112,1-20151-72112,Chemical / pesticide,2,15.56
PK000001,1-20151-73563,72113,1-20151-72113,Safety equipment / PPE,1,-23.57
PK000086,1-20141-73563,73564,1-20141-73564,IT equipment / accessories,7,357.16
PK000086,1-20141-73563,72111,1-20141-72111,Cleaning / minor kitchen supplies,7,98.36
PK000086,1-20141-73563,72111,1-20141-72111,Minor equipment / tools,1,36.82
PK000086,1-20141-73563,72111,1-20141-72111,Minor equipment / batteries,4,25.6
PK000086,1-20141-73563,73512,1-20141-73512,Hospitality refreshments (Reason B),2,13.0
PK000086,1-20141-73563,72113,1-20141-72113,Safety equipment / PPE,1,7.75
